X,Y,site,date,code,pollutant,mean,capture_rate,source,site.type,name,duplicate
394415.995128794,807403.280411589,Aberdeen AURN,2017,AB0,nox,33.595885397354,96.2218924780276,importKCL,Urban Background,Non-London,N
-0.139873606851324,-2.28869080886943,Armargh Roadside AURN,2017,AH0,nox,67.1451183752253,96.3816915877183,importKCL,Roadside,Non-London,N
551055.236464682,187233.373150739,Barking and Dagenham - Rush Green,2017,BG1,nox,40.5124936444702,93.4596507248031,importKCL,Suburban,LAEIBox,N
548045.505176748,183320.20327718,Barking and Dagenham - Scrattons Farm,2017,BG2,nox,50.4877317735187,92.7976258417989,importKCL,Suburban,LAEIBox,N
146230.896457479,529906.905933762,Belfast Centre CPC,2017,BE1,nox,39.3270760049817,98.7216071224746,importKCL,Urban Background,Non-London,N
549980.053330964,179061.051783628,Bexley - Belvedere,2017,BX2,nox,41.9141851337799,97.4888711334323,importKCL,Suburban,LAEIBox,N
548465.052779396,179466.050337153,Bexley - Belvedere West,2017,BQ7,nox,32.9454973763305,98.1965529049195,importKCL,Urban Background,LAEIBox,N
551864.053987996,176376.061371099,Bexley - Slade Green,2017,BX1,nox,39.577548887031,95.1032987101929,importKCL,Suburban,LAEIBox,N
333855.971955579,434734.194186351,Blackpool Marton AURN,2017,BK0,nox,16.7390662415975,96.8839173610318,importKCL,Urban Background,Non-London,N
412320.002627231,93341.3629363293,Bournemouth AURN,2017,BU0,nox,18.3318267111149,95.8908800365255,importKCL,Urban Background,Non-London,N
523721.043716804,183005.037695474,Brent - ARK Franklin Primary Academy,2017,BT8,nox,134.753893188017,14.416162538523,importKCL,Roadside,LAEIBox,N
520867.904656622,185169.565309114,Brent - Ikea,2017,BT4,nox,219.908388287092,86.6681885629494,importKCL,Roadside,LAEIBox,N
521620.797224119,183554.44737784,Brent - John Keble Primary School,2017,BT6,nox,89.8038412350912,99.805958223947,importKCL,Roadside,LAEIBox,N
521513.21348321,185205.002181638,Brent - Neasden Lane,2017,BT5,nox,104.361335185101,97.2491724688962,importKCL,Industrial,LAEIBox,N
559862.072967068,193617.970220416,Brentwood - Brentwood Town Hall,2017,BW1,nox,29.5438743092463,82.559068599475,importKCL,Urban Background,LAEIBox,N
530524.045361508,106212.315648217,Brighton and Hove - Preston Park,2017,BH0,nox,25.5882887431157,98.0824106837119,importKCL,Urban Background,Non-London,N
359500.983211139,173932.069899043,Bristol St Pauls AURN,2017,BR0,nox,42.5938898491057,99.0069626754937,importKCL,Urban Background,Non-London,N
530121.809691263,182039.047222256,Camden - Bloomsbury,2017,BL0,nox,61.2925838166932,98.5846364570255,importKCL,Urban Background,LAEIBox,N
394415.995128794,807403.280411589,Aberdeen AURN,2017,AB0,no2,21.8866213656363,96.2218924780276,importKCL,Urban Background,Non-London,N
-0.139873606851324,-2.28869080886943,Armargh Roadside AURN,2017,AH0,no2,23.8875520985005,96.3816915877183,importKCL,Roadside,Non-London,N
551055.236464682,187233.373150739,Barking and Dagenham - Rush Green,2017,BG1,no2,23.5285625758323,93.4710649469239,importKCL,Suburban,LAEIBox,N
548045.505176748,183320.20327718,Barking and Dagenham - Scrattons Farm,2017,BG2,no2,28.4844932189957,92.7747973975574,importKCL,Suburban,LAEIBox,N
146230.896457479,529906.905933762,Belfast Centre CPC,2017,BE1,no2,24.5893737545237,98.7216071224746,importKCL,Urban Background,Non-London,N
549980.053330964,179061.051783628,Bexley - Belvedere,2017,BX2,no2,28.1647644667248,97.4888711334323,importKCL,Suburban,LAEIBox,N
548465.052779396,179466.050337153,Bexley - Belvedere West,2017,BQ7,no2,21.0292227832544,98.1965529049195,importKCL,Urban Background,LAEIBox,N
551864.053987996,176376.061371099,Bexley - Slade Green,2017,BX1,no2,24.4940718185121,95.1032987101929,importKCL,Suburban,LAEIBox,N
333855.971955579,434734.194186351,Blackpool Marton AURN,2017,BK0,no2,12.668082551379,96.8839173610318,importKCL,Urban Background,Non-London,N
412320.002627231,93341.3629363293,Bournemouth AURN,2017,BU0,no2,12.6774754732124,95.8908800365255,importKCL,Urban Background,Non-London,N
523721.043716804,183005.037695474,Brent - ARK Franklin Primary Academy,2017,BT8,no2,53.7834205563779,14.416162538523,importKCL,Roadside,LAEIBox,N
520867.904656622,185169.565309114,Brent - Ikea,2017,BT4,no2,72.325247930985,86.6681885629494,importKCL,Roadside,LAEIBox,N
521620.797224119,183554.44737784,Brent - John Keble Primary School,2017,BT6,no2,44.4801069357257,99.805958223947,importKCL,Roadside,LAEIBox,N
521513.21348321,185205.002181638,Brent - Neasden Lane,2017,BT5,no2,45.1554544791154,97.2491724688962,importKCL,Industrial,LAEIBox,N
559862.072967068,193617.970220416,Brentwood - Brentwood Town Hall,2017,BW1,no2,21.9676054207205,82.559068599475,importKCL,Urban Background,LAEIBox,N
530524.045361508,106212.315648217,Brighton and Hove - Preston Park,2017,BH0,no2,16.9311318118761,98.0824106837119,importKCL,Urban Background,Non-London,N
359500.983211139,173932.069899043,Bristol St Pauls AURN,2017,BR0,no2,23.6580198067337,99.0069626754937,importKCL,Urban Background,Non-London,N
530121.809691263,182039.047222256,Camden - Bloomsbury,2017,BL0,no2,37.6496800142448,98.5846364570255,importKCL,Urban Background,LAEIBox,N
394415.995128794,807403.280411589,Aberdeen AURN,2017,AB0,o3,47.490577798242,98.0824106837119,importKCL,Urban Background,Non-London,N
322049.965571576,656245.604745765,Auchencorth Moss AURN,2017,AM0,o3,57.7747010685265,99.3608035612373,importKCL,Rural,Non-London,N
146230.896457479,529906.905933762,Belfast Centre CPC,2017,BE1,o3,45.0771348154517,99.1667617851843,importKCL,Urban Background,Non-London,N
548465.052779396,179466.050337153,Bexley - Belvedere West,2017,BQ7,o3,43.8141800686007,91.2224631891337,importKCL,Urban Background,LAEIBox,N
551864.053987996,176376.061371099,Bexley - Slade Green,2017,BX1,o3,45.6333557852641,81.497545942244,importKCL,Suburban,LAEIBox,N
333855.971955579,434734.194186351,Blackpool Marton AURN,2017,BK0,o3,55.7491520804615,98.8129208994407,importKCL,Urban Background,Non-London,N
412320.002627231,93341.3629363293,Bournemouth AURN,2017,BU0,o3,51.7601645101445,99.2238328957881,importKCL,Urban Background,Non-London,N
520867.904656622,185169.565309114,Brent - Ikea,2017,BT4,o3,16.9978148362835,98.0938249058327,importKCL,Roadside,LAEIBox,N
530524.045361508,106212.315648217,Brighton and Hove - Preston Park,2017,BH0,o3,46.120525950122,94.954913822623,importKCL,Urban Background,Non-London,N
533455.046458339,109564.303340046,Brighton and Hove - Stanmer Park,2017,BH8,o3,48.9704672531769,27.24574820226,importKCL,Rural,Non-London,N
359500.983211139,173932.069899043,Bristol St Pauls AURN,2017,BR0,o3,44.8578931319001,97.3975573564662,importKCL,Urban Background,Non-London,N
530121.809691263,182039.047222256,Camden - Bloomsbury,2017,BL0,o3,29.4473713186717,98.6987786782331,importKCL,Urban Background,LAEIBox,N
492396.031717666,123244.253214966,Chichester - Lodsworth,2017,AR1,o3,50.8037205516166,99.0526195639767,importKCL,Rural,Non-London,N
544888.695928803,117460.918911343,Wealden - Isfield,2017,AR2,o3,50.2241777321929,98.8585777879237,importKCL,Rural,Non-London,N
394415.995128794,807403.280411589,Aberdeen AURN,2017,AB0,pm10,11.4123401231644,96.3816915877183,importKCL,Urban Background,Non-London,N
-0.139873606851324,-2.28869080886943,Armargh Roadside AURN,2017,AH0,pm10,14.4592055634135,96.8382604725488,importKCL,Roadside,Non-London,N
322049.965571576,656245.604745765,Auchencorth Moss AURN,2017,AM0,pm10,6.4182640357059,97.1806871361717,importKCL,Rural,Non-London,N
548045.505176748,183320.20327718,Barking and Dagenham - Scrattons Farm,2017,BG2,pm10,19.1454395768433,98.2878666818856,importKCL,Suburban,LAEIBox,N
146230.896457479,529906.905933762,Belfast Centre CPC,2017,BE1,pm10,13.2962784194529,93.8819769432713,importKCL,Urban Background,Non-London,N
549980.053330964,179061.051783628,Bexley - Belvedere,2017,BX2,pm10,14.3724072461623,96.7926035840657,importKCL,Suburban,LAEIBox,N
549980.053330964,179061.051783628,Bexley - Belvedere FDMS,2017,BX0,pm10,16.6020562483357,98.8243351215615,importKCL,Suburban,LAEIBox,N
548465.052779396,179466.050337153,Bexley - Belvedere West,2017,BQ7,pm10,17.1699158944858,95.0233991553476,importKCL,Urban Background,LAEIBox,N
