date,code,nox,no2
2016-01-01T00:00:00Z,KC1,46.12904707941913,42.69677416993464
2016-01-01T01:00:00Z,KC1,49.609700938688476,47.492147503267965
2016-01-01T02:00:00Z,KC1,66.08456952567978,55.459239372549014
2016-01-01T03:00:00Z,KC1,67.47265540607712,54.65656
2016-01-01T04:00:00Z,KC1,79.85710300936977,59.37330624836601
2016-01-01T05:00:00Z,KC1,86.63186798928298,60.45197437908495
2016-01-01T06:00:00Z,KC1,120.72918543269985,68.15118687581699
2016-01-01T07:00:00Z,KC1,211.3037732805469,76.18798750326798
2016-01-01T08:00:00Z,KC1,123.28334029133359,66.980359372549
2016-01-01T09:00:00Z,KC1,66.1958196171034,51.68173375163398
2016-01-01T10:00:00Z,KC1,59.364714640562696,46.22009249673202
2016-01-01T11:00:00Z,KC1,56.47775742030603,42.23774499346405
2016-01-01T12:00:00Z,KC1,40.76178320067869,31.998706875817
2016-01-01T13:00:00Z,KC1,49.0912971222274,39.45153186928104
2016-01-01T14:00:00Z,KC1,47.369913248974385,40.523988130718955
2016-01-01T15:00:00Z,KC1,42.98264724378566,37.72441249673202
2016-01-01T16:00:00Z,KC1,38.595370619128694,33.446961254901964
2016-01-01T17:00:00Z,KC1,33.98653430753905,29.495653124183
2016-01-01T18:00:00Z,KC1,27.266685780651432,23.81626687581699
2016-01-01T19:00:00Z,KC1,25.156132405169018,22.144065620915033
2016-01-01T20:00:00Z,KC1,21.04676842714171,18.746652496732025
2016-01-01T21:00:00Z,KC1,22.769103848146763,19.976213124183
2016-01-01T22:00:00Z,KC1,22.879893615287184,20.52486499346405
2016-01-01T23:00:00Z,KC1,21.491797554996964,19.355944993464053
2016-01-02T00:00:00Z,KC1,17.62230834684068,15.869558326797385
2016-01-02T01:00:00Z,KC1,11.995434973420757,11.26518499346405
2016-01-02T02:00:00Z,KC1,12.661391091932428,12.059265620915031
2016-01-02T03:00:00Z,KC1,11.273297102210314,10.561346248366013
2016-01-02T04:00:00Z,KC1,10.995390853844304,10.28344
2016-01-02T05:00:00Z,KC1,12.494737278591298,11.180186248366011
2016-01-02T06:00:00Z,KC1,17.15992070408605,15.297666875816992
2016-01-02T07:00:00Z,KC1,19.65867236685148,17.577732496732025
2016-01-02T08:00:00Z,KC1,19.991965252946365,17.8012
2016-01-02T09:00:00Z,KC1,23.823435146594814,20.647104993464055
2016-01-02T10:00:00Z,KC1,25.157092694785966,20.775546875816996
2016-01-02T11:00:00Z,KC1,29.54387953400207,24.066958745098034
2016-01-02T12:00:00Z,KC1,29.599266278221872,24.06790750326797
2016-01-02T13:00:00Z,KC1,33.48612650475457,26.694639372549013
2016-01-02T14:00:00Z,KC1,36.98523609186273,29.208199372549014
2016-01-02T15:00:00Z,KC1,60.586629522307256,46.83893249673201
2016-01-02T16:00:00Z,KC1,42.649824482342765,39.03466750326797
2016-01-02T17:00:00Z,KC1,36.31912409944617,33.08788125490196
2016-01-02T18:00:00Z,KC1,36.37404439415228,32.86918750326797
2016-01-02T19:00:00Z,KC1,32.20929073579795,29.689998745098038
2016-01-02T20:00:00Z,KC1,26.60056926757456,24.79322813071895
2016-01-02T21:00:00Z,KC1,28.32196364019327,26.240533751633983
2016-01-02T22:00:00Z,KC1,25.933981764306587,24.12664062745098
2016-01-02T23:00:00Z,KC1,34.541397160544946,31.41950499346405
2016-01-03T00:00:00Z,KC1,15.25326866860235,14.08434499346405
2016-01-03T01:00:00Z,KC1,7.700478999032158,7.043440836601308
2016-01-03T02:00:00Z,KC1,5.497931914064836,4.840893751633986
2016-01-03T03:00:00Z,KC1,4.498053808251967,4.1146143790849665
2016-01-03T04:00:00Z,KC1,8.496636254971653,8.222547503267974
2016-01-03T05:00:00Z,KC1,10.440063262385838,10.220412496732026
2016-01-03T06:00:00Z,KC1,23.379826186658867,22.667400627450977
2016-01-03T07:00:00Z,KC1,41.0941230009081,38.73909437908497
2016-01-03T08:00:00Z,KC1,27.766141469600473,26.23241437908496
2016-01-03T09:00:00Z,KC1,25.156618388963558,23.239451869281044
2016-01-03T10:00:00Z,KC1,20.603182190609882,18.57666499346405
2016-01-03T11:00:00Z,KC1,23.213663277313767,20.037333124183007
2016-01-03T12:00:00Z,KC1,22.99115289455655,19.650559372549015
2016-01-03T13:00:00Z,KC1,26.711351684438384,22.71372
2016-01-03T14:00:00Z,KC1,22.768645214907597,20.03065186928104
2016-01-03T15:00:00Z,KC1,27.322068909784218,25.897692496732024
2016-01-03T16:00:00Z,KC1,40.70592382166342,39.11775874509804
2016-01-03T17:00:00Z,KC1,55.08869256153291,52.952839999999995
2016-01-03T18:00:00Z,KC1,80.6898577296613,72.528906875817
2016-01-03T19:00:00Z,KC1,90.68585134832098,75.84323874509803
2016-01-03T20:00:00Z,KC1,76.08055368346058,67.263039372549
2016-01-03T21:00:00Z,KC1,96.01665106854283,71.04197312418302
2016-01-03T22:00:00Z,KC1,58.53196027977817,53.384025620915025
2016-01-03T23:00:00Z,KC1,42.37239333888152,40.83866624836601
2016-01-04T00:00:00Z,KC1,35.09688573907457,34.14698499346405
2016-01-04T01:00:00Z,KC1,22.28716383950483,21.775278326797384
2016-01-04T02:00:00Z,KC1,16.4928544608092,16.108465620915027
2016-01-04T03:00:00Z,KC1,14.04996369515539,13.88522562091503
2016-01-04T04:00:00Z,KC1,17.604469467345147,17.220080627450976
2016-01-04T05:00:00Z,KC1,23.545999548930002,22.943399372549017
2016-01-04T06:00:00Z,KC1,42.593955322975795,39.57902499346405
2016-01-04T07:00:00Z,KC1,75.58060856857766,64.507386248366
