date,code,pollutant,mean,capture_rate,source,site.type,name
2013,BG1,nox,40.00446183523679,93.29985161511243,importKCL,Suburban,LAEIBox
2013,BG2,nox,57.68079651167724,43.750713388882545,importKCL,Suburban,LAEIBox
2013,BH0,nox,25.75235245547774,98.79009245519917,importKCL,Urban Background,Non-London
2013,BL0,nox,88.91435719468119,98.4476657915763,importKCL,Urban Background,LAEIBox
2013,BQ7,nox,38.75668086062847,93.47106494692386,importKCL,Urban Background,LAEIBox
2013,BT5,nox,86.74873235982663,84.22554502910626,importKCL,Industrial,LAEIBox
2013,BT6,nox,72.81541677375021,47.779933797511696,importKCL,Roadside,LAEIBox
2013,BU0,nox,18.94096408872198,97.26058669101701,importKCL,Urban Background,Non-London
2013,BW1,nox,34.44200991209917,95.47996804017806,importKCL,Urban Background,LAEIBox
2013,BX1,nox,47.881727783927836,98.86999201004451,importKCL,Suburban,LAEIBox
2013,BX2,nox,42.52504353705207,98.89282045428604,importKCL,Suburban,LAEIBox
2013,BX4,nox,55.971559262540076,99.3608035612373,importKCL,Industrial,LAEIBox
2013,CA2,nox,50.99757019414479,99.42928889396188,importKCL,Urban Background,Non-London
2013,CB1,nox,64.56886545697293,94.04177605296199,importKCL,Roadside,Non-London
2013,CB2,nox,72.91503407490265,91.83883118365483,importKCL,Roadside,Non-London
2013,CB3,nox,17.18098671438971,94.07601871932427,importKCL,Urban Background,Non-London
2013,CB4,nox,102.1601259418939,97.95685424038352,importKCL,Roadside,Non-London
2013,CC2,nox,74.52283784504044,94.06460449720352,importKCL,Roadside,Non-London
2013,CD1,nox,188.05512876979662,99.53201689304873,importKCL,Kerbside,LAEIBox
2013,CD3,nox,178.84442027727957,82.13674238100673,importKCL,Roadside,LAEIBox
2013,CD9,nox,354.2049548056591,88.24335121561465,importKCL,Roadside,LAEIBox
2013,CI1,nox,71.15446279906094,93.57379294601073,importKCL,Roadside,Non-London
2013,CI4,nox,52.4001977764771,76.29266065517635,importKCL,Roadside,Non-London
2013,CP2,nox,49.635719580743086,77.95913708480768,importKCL,Roadside,Non-London
2013,CR4,nox,106.5419420577162,87.7411254423011,importKCL,Roadside,LAEIBox
2013,CR5,nox,202.68398739119573,90.1152836434197,importKCL,Kerbside,LAEIBox
2013,CR7,nox,90.35965945172568,77.99337975116995,importKCL,Roadside,LAEIBox
2013,CT1,nox,103.23783076034562,4.017806186508389,importKCL,Urban Background,LAEIBox
2013,CT3,nox,79.93065584559143,99.13251911882205,importKCL,Urban Background,LAEIBox
2013,CT4,nox,302.53302886722446,92.47802762241754,importKCL,Roadside,LAEIBox
2013,CT6,nox,359.92836447264654,98.04816801734961,importKCL,Roadside,LAEIBox
2013,DC3,nox,65.20423322446823,81.86280105010843,importKCL,Roadside,Non-London
2013,EA6,nox,260.51464838674,91.16539207852985,importKCL,Roadside,LAEIBox
2013,EA7,nox,53.76825246836989,85.57242323935624,importKCL,Urban Background,LAEIBox
2013,EA8,nox,149.12064012644242,85.89202145873759,importKCL,Industrial,LAEIBox
2013,EA8,nox,149.12064012644242,85.89202145873759,importKCL,Urban Traffic,LAEIBox
2013,EB1,nox,22.733234595832563,98.20796712704029,importKCL,Urban Background,Non-London
2013,EB3,nox,16.559563533236542,94.41844538294714,importKCL,Urban Background,Non-London
2013,EI1,nox,164.4993570412941,85.84636457025454,importKCL,Roadside,LAEIBox
2013,EI2,nox,81.2538166264769,85.43545257390709,importKCL,Roadside,LAEIBox
2013,EN1,nox,47.37369424702174,78.74671841114028,importKCL,Suburban,LAEIBox
2013,EN4,nox,100.63758022606727,96.46159114256363,importKCL,Roadside,LAEIBox
2013,EN5,nox,123.93305234717171,54.52573907088232,importKCL,Roadside,LAEIBox
2013,EN7,nox,47.978467991371154,76.8519575390937,importKCL,Urban Background,LAEIBox
2013,GB6,nox,112.42830369095036,93.66510672297683,importKCL,Roadside,LAEIBox
2013,GF1,nox,338.36108589614383,14.724346535783587,importKCL,Urban Background,Non-London
2013,GN0,nox,85.924291068957,99.52060267092797,importKCL,Roadside,LAEIBox
2013,GN2,nox,73.78010556982191,75.1512384431001,importKCL,Industrial,LAEIBox
2013,GN3,nox,74.29460603543068,97.83129779705513,importKCL,Roadside,LAEIBox
2013,GN4,nox,142.71615953748142,95.26309781988358,importKCL,Roadside,LAEIBox
2013,GR4,nox,33.21270077661277,97.2948293573793,importKCL,Suburban,LAEIBox
2013,GR5,nox,80.58626723153064,99.34938933911653,importKCL,Roadside,LAEIBox
2013,GR7,nox,115.99111311928074,86.25727656660199,importKCL,Roadside,LAEIBox
2013,GR8,nox,191.15546408621827,99.86302933455084,importKCL,Roadside,LAEIBox
2013,GR9,nox,97.06294290446512,99.82878666818856,importKCL,Roadside,LAEIBox
2013,HA1,nox,15.636138233833762,49.52630978198836,importKCL,Rural,Non-London
2013,HF4,nox,212.16978327484216,53.11037552790777,importKCL,Roadside,LAEIBox
2013,HG1,nox,97.39083594898575,97.81988357493437,importKCL,Roadside,LAEIBox
2013,HG1,nox,97.39083594898575,97.81988357493437,importKCL,Urban Traffic,LAEIBox
2013,HG4,nox,38.1975883858113,99.79454400182628,importKCL,Urban Background,LAEIBox
2013,HG4,nox,38.1975883858113,99.79454400182628,importKCL,Urban Background,LAEIBox
2013,HI0,nox,107.34061312870037,98.98413423125214,importKCL,Suburban,LAEIBox
2013,HK6,nox,157.19494840253284,99.80595822394703,importKCL,Roadside,LAEIBox
2013,HO2,nox,61.99411431755584,98.60746490126698,importKCL,Roadside,Non-London
