X,Y,site,date,code,pollutant,mean,capture_rate,source,site.type,name,duplicate
515115.040427885,170775.081362707,"- National Physical Laboratory, Teddington",2013,TD0,nox,31.6980015768421,98.5846364570255,importKCL,Suburban,LAEIBox,N
515115.040427885,170775.081362707,"- National Physical Laboratory, Teddington",2014,TD0,nox,37.9708013864692,98.2764524597649,importKCL,Suburban,LAEIBox,N
515115.040427885,170775.081362707,"- National Physical Laboratory, Teddington",2015,TD0,nox,26.4189394890478,95.5142107065404,importKCL,Suburban,LAEIBox,N
515115.040427885,170775.081362707,"- National Physical Laboratory, Teddington",2016,TD0,nox,30.573619686202,56.8013659647126,importKCL,Suburban,LAEIBox,N
-0.139873606851324,-2.28869080674485,102150,2014,JA1,nox,195.325307336587,21.4929802533957,importKCL,Kerbside,Non-London,N
-0.139873606851324,-2.28869080674485,154150,2013,JA3,nox,327.453903816058,8.49218125784728,importKCL,Kerbside,Non-London,N
-0.139873606851324,-2.28869080674485,154150,2014,JA3,nox,-308.733225966729,21.0249971464445,importKCL,Kerbside,Non-London,N
-0.139873606851324,-2.28869080674485,155150,2013,JA4,nox,271.907860366502,8.49218125784728,importKCL,Kerbside,Non-London,N
-0.139873606851324,-2.28869080674485,155150,2014,JA4,nox,229.093015796831,24.3807784499486,importKCL,Kerbside,Non-London,N
-0.139873606851324,-2.28869080674485,156150,2013,JA5,nox,282.398601334667,8.49218125784728,importKCL,Kerbside,Non-London,N
-0.139873606851324,-2.28869080674485,156150,2014,JA5,nox,184.450103734278,22.9996575733364,importKCL,Kerbside,Non-London,N
-0.139873606851324,-2.28869080674485,162150,2013,JB1,nox,284.544329267855,3.69820796712704,importKCL,Kerbside,Non-London,N
-0.139873606851324,-2.28869080674485,162150,2014,JB1,nox,7295.48106903969,20.2260015979911,importKCL,Kerbside,Non-London,N
-0.139873606851324,-2.28869080674485,163150,2013,JB2,nox,4596.57381201924,7.08823193699349,importKCL,Kerbside,Non-London,N
-0.139873606851324,-2.28869080674485,163150,2014,JB2,nox,261.968284955293,24.3807784499486,importKCL,Kerbside,Non-London,N
-0.139873606851324,-2.28869080674485,164150,2013,JB3,nox,-592.319255857124,8.49218125784728,importKCL,Kerbside,Non-London,N
-0.139873606851324,-2.28869080674485,164150,2014,JB3,nox,-11791.9905278848,2.03173153749572,importKCL,Kerbside,Non-London,N
-0.139873606851324,-2.28869080674485,165150,2013,JB4,nox,20519.289435814,3.15032530533044,importKCL,Kerbside,Non-London,N
-0.139873606851324,-2.28869080674485,165150,2014,JB4,nox,1914.180214105,22.9996575733364,importKCL,Kerbside,Non-London,N
-0.139873606851324,-2.28869080674485,361150,2013,JA2,nox,-13642.6536167341,3.15032530533044,importKCL,Kerbside,Non-London,N
-0.139873606851324,-2.28869080674485,361150,2014,JA2,nox,-445.591044136669,22.9996575733364,importKCL,Kerbside,Non-London,N
-0.139873606851324,-2.28869080674485,379150,2013,JA6,nox,372.551613963269,8.49218125784728,importKCL,Kerbside,Non-London,N
-0.139873606851324,-2.28869080674485,379150,2014,JA6,nox,324.317205788512,24.3807784499486,importKCL,Kerbside,Non-London,N
-0.139873606851324,-2.28869080674485,380150,2013,JA7,nox,1816.06889357308,3.69820796712704,importKCL,Kerbside,Non-London,N
-0.139873606851324,-2.28869080674485,380150,2014,JA7,nox,-6883.28773267607,22.9996575733364,importKCL,Kerbside,Non-London,N
-0.139873606851324,-2.28869080674485,381150,2013,JA8,nox,178.440559746598,1.79203287295971,importKCL,Kerbside,Non-London,N
-0.139873606851324,-2.28869080674485,381150,2014,JA8,nox,247.085987391525,24.3807784499486,importKCL,Kerbside,Non-London,N
-0.139873606851324,-2.28869080674485,382150,2013,JA9,nox,-5443.04463398543,2.60244264353384,importKCL,Kerbside,Non-London,N
-0.139873606851324,-2.28869080674485,382150,2014,JA9,nox,240.562663327594,23.0110717954571,importKCL,Kerbside,Non-London,N
394415.995128794,807403.280411591,Aberdeen AURN,2015,AB0,nox,35.5336785264999,98.5161511243009,importKCL,Urban Background,Non-London,N
394415.995128794,807403.280411591,Aberdeen AURN,2016,AB0,nox,34.7821330771042,97.2111553784861,importKCL,Urban Background,Non-London,N
394415.995128794,807403.280411591,Aberdeen AURN,2017,AB0,nox,33.595885397354,96.2218924780276,importKCL,Urban Background,Non-London,N
394415.995128794,807403.280411591,Aberdeen AURN,2018,AB0,nox,39.7721586075436,26.7891793174295,importKCL,Urban Background,Non-London,N
521399.042053981,105037.319957364,Adur - Shoreham-by-Sea,2014,AD1,nox,91.4677829898928,38.5572423239356,importKCL,Kerbside,Non-London,N
521399.042053981,105037.319957364,Adur - Shoreham-by-Sea,2015,AD1,nox,107.133934606614,53.1446181942701,importKCL,Kerbside,Non-London,N
521399.042053981,105037.319957364,Adur - Shoreham-by-Sea,2016,AD1,nox,104.332398208365,42.0375640295959,importKCL,Kerbside,Non-London,N
521399.042053981,105037.319957364,Adur - Shoreham-by-Sea,2018,AD1,nox,60.1566020474153,62.2075105581555,importKCL,Kerbside,Non-London,N
521399.042053981,105037.319957364,Adur - Shoreham-by-Sea,2019,AD1,nox,75.6937638015069,9.59936080356124,importKCL,Kerbside,Non-London,N
-0.139873606851324,-2.28869080674485,Armargh Roadside AURN,2015,AH0,nox,74.5886337754078,45.9422440360689,importKCL,Roadside,Non-London,N
-0.139873606851324,-2.28869080674485,Armargh Roadside AURN,2016,AH0,nox,66.8805613668402,89.2316448491747,importKCL,Roadside,Non-London,N
